team_1,team_2,team_1_score,team_2_score,venue,winner,match_date,match_day
MI,CSK,149,148,Hyderabad,MI,12th May,Sunday
CSK,DC,151,147,Visakhapatnam,CSK,10th May,Friday
DC,SRH,165,162,Visakhapatnam,DC,8th May,Wednesday
MI,CSK,132,131,Chennai,MI,7th May,Tuesday
MI,KKR,134,133,Mumbai,MI,5th May,Sunday
KXIP,CSK,173,170,Mohali,KXIP,5th May,Sunday
RCB,SRH,178,175,Bengaluru,RCB,4th May,Saturday
DC,RR,121,115,Delhi,DC,4th May,Saturday
KXIP,KKR,183,185,Mohali,KKR,3rd May,Friday
MI,SRH,162,162,Mumbai,Match Tied,2nd May,Thursday
CSK,DC,179,99,Chennai,CSK,1st May,Wednesday
RCB,RR,62,41,Bengaluru,No Result,30th April,Tuesday
SRH,KXIP,212,167,Hyderabad,SRH,29th April,Monday
KKR,MI,232,198,Kolkata,KKR,28th April,Sunday
DC,RCB,187,171,Delhi,DC,28th April,Sunday
RR,SRH,161,160,Jaipur,RR,27th April,Saturday
CSK,MI,109,155,Chennai,MI,26th April,Friday
KKR,RR,175,177,Kolkata,RR,25th April,Thursday
RCB,KXIP,202,185,Bengaluru,RCB,24th April,Wednesday
CSK,SRH,176,175,Chennai,CSK,23rd April,Tuesday
RR,DC,191,193,Jaipur,DC,22nd April,Monday
RCB,CSK,161,160,Bengaluru,RCB,21st April,Sunday
SRH,KKR,161,159,Hyderabad,SRH,21st April,Sunday
DC,KXIP,166,163,Delhi,DC,20th April,Saturday
RR,MI,162,161,Jaipur,RR,20th April,Saturday
KKR,RCB,203,213,Kolkata,RCB,19th April,Friday
DC,MI,128,168,Delhi,MI,18th April,Thursday
SRH,CSK,137,132,Hyderabad,SRH,17th April,Wednesday
KXIP,RR,182,170,Mohali,KXIP,16th April,Tuesday
MI,RCB,172,171,Mumbai,MI,15th April,Monday
SRH,DC,116,155,Hyderabad,DC,14th April,Sunday
KKR,CSK,161,162,Kolkata,CSK,14th April,Sunday
KXIP,RCB,173,174,Mohali,RCB,13th April,Saturday
MI,RR,187,188,Mumbai,RR,13th April,Saturday
KKR,DC,178,180,Kolkata,DC,12th April,Friday
RR,CSK,151,155,Jaipur,CSK,11th April,Thursday
MI,KXIP,198,197,Mumbai,MI,10th April,Wednesday
CSK,KKR,111,108,Chennai,CSK,9th April,Tuesday
KXIP,SRH,151,150,Mohali,KXIP,8th April,Monday
RR,KKR,139,140,Jaipur,KKR,7th April,Sunday
RCB,DC,149,152,Bengaluru,DC,7th April,Sunday
SRH,MI,96,136,Hyderabad,MI,6th April,Saturday
CSK,KXIP,160,138,Chennai,CSK,6th April,Saturday
RCB,KKR,205,206,Bengaluru,KKR,5th April,Friday
DC,SRH,129,131,Delhi,SRH,4th April,Thursday
MI,CSK,170,133,Mumbai,MI,3rd April,Wednesday
RR,RCB,164,158,Jaipur,RR,2nd April,Tuesday
KXIP,DC,166,152,Mohali,KXIP,1st April,Monday
CSK,RR,175,167,Chennai,CSK,31st March,Sunday
SRH,RCB,231,113,Hyderabad,SRH,31st March,Sunday
DC,KKR,185,185,Delhi,Match Tied,30th March,Saturday
KXIP,MI,177,176,Mohali,KXIP,30th March,Saturday
SRH,RR,201,198,Hyderabad,SRH,29th March,Friday
RCB,MI,181,187,Bengaluru,MI,28th March,Thursday
KKR,KXIP,218,190,Kolkata,KKR,27th March,Wednesday
DC,CSK,147,150,Delhi,CSK,26th March,Tuesday
RR,KXIP,170,184,Jaipur,KXIP,25th March,Monday
MI,DC,176,213,Mumbai,DC,24th March,Sunday
KKR,SRH,183,181,Kolkata,KKR,24th March,Sunday
CSK,RCB,71,70,Chennai,CSK,23rd March,Saturday
